location,city,bedrooms,bathrooms,property_type,price_pkr,size_sqft,days_since_listed,price_per_sqft,log_price,size_category,city_encoded,property_type_encoded
"Dha Phase 6, Dha Defence",Lahore,5,6,House,89900000.0,4500.0,1.0,19977.777777777777,18.31420851056532,Large,3,1
"Dha 9 Town, Dha Defence",Lahore,3,4,House,24500000.0,1125.0,1.0,21777.777777777777,17.01418371633128,Medium,3,1
"Nespak Housing Society Phase 3 - Block B, Nespak Scheme Phase 3",Lahore,5,6,House,41500000.0,2250.0,0.8333333333333333,18444.444444444445,17.541204009297314,Large,3,1
"Park View City - Tulip Extension Block, Park View City",Lahore,4,4,House,23500000.0,1125.0,0.8333333333333333,20888.88888888889,16.97251102166758,Medium,3,1
"Park View City - Crystal Block, Park View City",Lahore,4,4,House,18000000.0,1125.0,0.8333333333333333,16000.0,16.705882371415992,Medium,3,1
"Park View City, Lahore",Lahore,4,5,House,16000000.0,1125.0,0.875,14222.222222222223,16.588099342704055,Medium,3,1
"Park View City, Lahore",Lahore,4,5,House,60000000.0,4500.0,0.875,13333.333333333334,17.909855136853043,Large,3,1
"Dha Phase 6 - Block L, Dha Phase 6",Lahore,5,6,House,135000000.0,4500.0,0.041666666666666664,30000.0,18.72078534381011,Large,3,1
"Askari 11, Askari",Lahore,3,4,House,31000000.0,2475.0,0.08333333333333333,12525.252525252525,17.249497794707484,Large,3,1
"Askari 11 - Sector B Apartments, Askari 11",Lahore,3,4,House,27500000.0,2250.0,0.08333333333333333,12222.222222222223,17.129696599000436,Large,3,1
"Askari 11 - Sector D, Askari 11",Lahore,3,3,House,36500000.0,2700.0,0.08333333333333333,13518.518518518518,17.41282284594998,Large,3,1
"Askari 11 - Sector B Apartments, Askari 11",Lahore,4,5,House,33500000.0,2700.0,0.08333333333333333,12407.407407407407,17.32705602664604,Large,3,1
"Central Park - Block A1, Central Park Housing Scheme",Lahore,4,4,House,21000000.0,1125.0,0.08333333333333333,18666.666666666668,16.860033043306743,Medium,3,1
"Al Hafeez Garden - Phase 2, Main Canal Bank Road",Lahore,3,4,House,18000000.0,900.0,0.02291666666666667,20000.0,16.705882371415992,Medium,3,1
"Johar Town, Lahore",Lahore,5,6,House,70000000.0,4500.0,0.02291666666666667,15555.555555555555,18.064005814299346,Large,3,1
"Johar Town, Lahore",Lahore,5,6,House,33500000.0,1125.0,0.02291666666666667,29777.777777777777,17.32705602664604,Medium,3,1
"Johar Town, Lahore",Lahore,5,6,House,63000000.0,2700.0,0.02291666666666667,23333.333333333332,17.958645300228824,Large,3,1
"Johar Town, Lahore",Lahore,5,5,House,31000000.0,1125.0,0.02361111111111111,27555.555555555555,17.249497794707484,Medium,3,1
"Johar Town, Lahore",Lahore,5,6,House,37000000.0,1125.0,0.02361111111111111,32888.88888888889,17.426428497635523,Medium,3,1
"Dha Phase 8 - Block V, Dha Phase 8",Lahore,7,7,House,77500000.0,4500.0,0.025,17222.222222222223,18.1657885072268,Large,3,1
"Park View City, Lahore",Lahore,6,6,House,42000000.0,2250.0,0.02638888888888889,18666.666666666668,17.553180200057167,Large,3,1
"Dha Phase 7 - Block R, Dha Phase 7",Lahore,6,6,House,95000000.0,4500.0,1.0,21111.11111111111,18.36938746009113,Large,3,1
