location,city,bedrooms,bathrooms,price_pkr,size_sqft,price_per_sqft,log_price,days_since_listed,society_type,dha_phase,isb_sector_tier,is_premium_area,phase_number
"Formanites Housing Scheme, Lahore",Lahore,3.0,4.0,21000000.0,1125.0,18666.666666666668,16.860033043306743,0.035416666666666666,Other,0,0,0,0
"Park View City, Lahore",Lahore,4.0,5.0,17500000.0,1125.0,15555.555555555555,16.677711496036597,0.035416666666666666,Private,0,0,0,0
"Formanites Housing Scheme, Lahore",Lahore,5.0,6.0,44000000.0,2250.0,19555.555555555555,17.599700214609808,0.036111111111111115,Other,0,0,0,0
"Dha Phase 7, Dha Defence",Lahore,4.0,5.0,42500000.0,2250.0,18888.88888888889,17.565014657424058,2.0,DHA,7,0,0,7
"Dha 9 Town, Dha Defence",Lahore,3.0,4.0,22000000.0,1125.0,19555.555555555555,16.906553056777135,2.0,DHA,9,0,0,0
"Dha 9 Town, Dha Defence",Lahore,3.0,4.0,22000000.0,1125.0,19555.555555555555,16.906553056777135,2.0,DHA,9,0,0,0
"Dha Phase 7, Dha Defence",Lahore,5.0,6.0,110000000.0,4500.0,24444.444444444445,18.5159909328476,2.0,DHA,7,0,0,7
"Central Park Housing Scheme, Lahore",Lahore,4.0,5.0,24000000.0,1125.0,21333.333333333332,16.993564429978885,1.0,Private,0,0,0,0
"Bahria Nasheman, Lahore",Lahore,3.0,3.0,17000000.0,1125.0,15111.111111111111,16.648723960844016,1.0,Bahria,0,0,0,0
"Bahria Town - Sector C, Bahria Town",Lahore,6.0,7.0,72500000.0,4500.0,16111.111111111111,18.099097133618006,1.0,Bahria,0,0,0,0
"Dha 11 Rahbar Phase 1 - Block D, Dha 11 Rahbar Phase 1",Lahore,4.0,4.0,49000000.0,2250.0,21777.777777777777,17.707330876483063,1.0,DHA,11,0,0,1
"Dha 11 Rahbar Phase 2 - Block H, Dha 11 Rahbar Phase 2",Lahore,3.0,4.0,23000000.0,1125.0,20444.444444444445,16.951004817371683,1.0,DHA,11,0,0,2
"Dha Phase 6 - Block D, Dha Phase 6",Lahore,5.0,6.0,102500000.0,4500.0,22777.777777777777,18.445373366298835,0.041666666666666664,DHA,6,0,1,6
"Dha Phase 6 - Block C, Dha Phase 6",Lahore,6.0,7.0,75000000.0,4500.0,16666.666666666668,18.132998684833918,0.041666666666666664,DHA,6,0,1,6
"Kahna, Lahore",Lahore,4.0,2.0,3450000.0,900.0,3833.3333333333335,15.053885078862573,0.08333333333333333,Other,0,0,0,0
"Gajju Matah, Lahore",Lahore,4.0,3.0,6750000.0,675.0,10000.0,15.72505321099685,0.08333333333333333,Other,0,0,0,0
"Al Rehman Phase 2 - Block N, Al Rehman Garden Phase 2",Lahore,3.0,3.0,11500000.0,675.0,17037.037037037036,16.257857680289998,0.08333333333333333,Other,0,0,0,2
